field_name,why_data_centric,n_classes,missing_rate,probable_noise,baseline_risk
name_norm,видимый сигнал и есть uncertain варианты типа миска (?),7,0.0,варианты записи и uncertain маркеры в названии,путает близкие классы и редкие классы
material_norm,есть синонимы керамических и металлических форм,16,0.0,разная детализация материала в разметке,путает материал из-за фона и патины
fragm_norm,поле напрямую визуальное и полезно для sanity baseline,2,0.0014398848092152627,часть записей пустые или конфликтуют с визуалом,дисбаланс класса фрагмент
